Function,Agency,Fund Type,FP Category,Fund,Subfund,Subfund Name,2019-20 Estimates,2018-19 Actuals,2017-18 Actuals,2016-17 Actuals,2015-16 Actuals,2014-15 Actuals,2013-14  Actuals,2012-13  Actuals,2011-12  Actuals,2010-11  Actuals,2009-10  Actuals,2008-09  Actuals,2007-08  Actuals,2006-07  Actuals,2005-06  Actuals,2004-05  Actuals,2003-04  Actuals,2002-03  Actuals,2001-02  Actuals,2000-01  Actuals,1999-00  Actuals,1998-99  Actuals,1997-98  Actuals,1996-97  Actuals,1995-96  Actuals,1994-95  Actuals
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal Education Fund,25200,Fed Education,617,331,91,265,365,294,437,619,737,668,359,59,107,120,185,156,255,262,221,132,0,0,0,0,0,0
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Federal,Personal Service,Federal Education Fund,25200,Fed Education,1753,"1,787",1867,1776,1775,1592,1502,1655,1680,2015,1805,1757,1471,1482,1546,1519,1228,1221,978,981,0,0,0,0,0,0
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Federal,Grants to Local Gov.,Federal Education Fund,252FS,Federal Stimulu,0,0,0,0,0,0,0,0,547,238,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Federal,Fringe Benefits,Federal Health and Human Services Fund,25100,Federal HHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,246,529,315,336,385
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal Health and Human Services Fund,25100,Federal HHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,110,39,184,51,169
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Federal,Personal Service,Federal Health and Human Services Fund,25100,Federal HHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978,1040,1152,1219,1099,1430
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,516,100,26,20,28,26,25,12,46,24,138,211,451,421,248,239,252,312,664,445,448,59,0,0,28,132
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Federal,Indirect Costs,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1081,-1789,-1139,0,-1276,0,0,0,0,0,0
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,574,387,401,245,632,888,730,18458,124,121,660,768,833,1151,537,1786,2507,2005,481,2106,1330,301,0,17316,942,3789
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Federal,Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,14000,419,24447,19621,21699,279,15015,5109,745,26840,17765,41269,30180,25780,26200,10503,29094,62093,69827,57706,124073,50598,0,37004,27,248
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,253FS,Federal Stimulu,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Other,Non-Personal Service,Combined Expendable Trust,20107,DOCS Gift & Don,5,0,1,6,4,9,2,1,8,7,12,1,0,1,0,43,0,0,3,2,5,0,2,3,7,22
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21945,Crim Jus Improv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21999,Asset Forfeitur,250,0,0,9,101,0,0,376,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,219H8,Altnt Crrct Fac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,219H8,Altnt Crrct Fac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1687
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,219H8,Altnt Crrct Fac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Other,Grants to Local Gov.,Miscellaneous State Special Revenue,22025,Comm Svce Assis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,33,324,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22026,Cell Phone Towe,0,0,0,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22136,Food Prod Ctr,106,191,117,101,92,80,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22136,Food Prod Ctr,6,9,6,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22136,Food Prod Ctr,1052,720,918,1102,972,1814,1257,684,843,834,1009,433,447,450,364,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22136,Food Prod Ctr,219,215,251,165,168,147,91,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22189,DOCS Asset Forf,314,98,136,258,32,72,71,102,14,14,13,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Corrections and Community Supervision, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22208,Offender Progra,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",General Fund,General State Charges,Community Projects Fund,10251,Comm Proj AA,0,0,0,0,0,0,0,0,0,0,0,-8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",General Fund,Grants to Local Gov.,Community Projects Fund,10251,Comm Proj AA,0,0,0,0,0,0,150,98,145,2809,2680,3820,3877,3255,3761,2815,1355,927,1767,1699,1545,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",General Fund,Non-Personal Service,Community Projects Fund,10251,Comm Proj AA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",General Fund,Personal Service,Community Projects Fund,10251,Comm Proj AA,0,0,0,0,0,0,0,0,0,0,12,83,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",General Fund,Grants to Local Gov.,Community Projects Fund,10252,Comm Proj BB,0,0,0,0,0,0,18,31,486,2461,151,295,206,1,5,24,51,110,186,143,242,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",General Fund,Grants to Local Gov.,Community Projects Fund,10253,Comm Proj CC,0,167,256,276,245,95,233,12,600,4610,6338,5114,8381,5370,5674,6327,3807,2857,3799,4786,5303,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",General Fund,Grants to Local Gov.,Community Projects Fund,10255,Comm Proj EE,0,15,32,0,0,0,0,0,27,82,241,113,65,0,0,1,73,8,84,184,116,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",General Fund,Grants to Local Gov.,Community Projects Fund,10256,Comm Proj GG,0,0,0,0,0,0,0,0,1047,1300,455,1012,880,1530,23,0,15,119,70,782,107,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",General Fund,Non-Personal Service,Community Projects Fund,10256,Comm Proj GG,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,835,165,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",General Fund,Grants to Local Gov.,Local Assistance Account,10000,Local Assistnce,151086,"160,785",136282,129078,127732,126916,116474,120019,117006,115991,80329,81453,74014,55894,48988,47326,52195,53198,61230,65240,62255,59013,59028,53077,53619,41010
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,6648,"5,941",7138,7128,10275,8129,16157,20672,18195,21669,20527,22141,25451,22777,14497,14378,12591,13736,13181,14696,14275,10701,9492,9539,352,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",General Fund,Personal Service,State Operations Account,10050,State Purposes,27627,"28,029",26713,26740,24246,26643,24441,29804,32650,34492,35019,37423,33614,29283,26970,26694,26850,26336,28021,28257,23557,23076,22303,21045,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Federal,Grants to Local Gov.,Federal Block Grants Fund,25250,HHS Block Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,103,13,21,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Federal,Grants to Local Gov.,Federal Health and Human Services Fund,25100,Federal HHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,348,518,617,331,259,225,461,372,314,191,40,55,140,936,3034,568,142,19,-182,618,494,1133,543,222,912,394
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Federal,Grants to Local Gov.,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,15800,"40,574",14131,15563,17835,16082,21304,18111,20006,18710,40627,72090,91041,105051,46552,205781,151226,37328,35336,37678,27643,23543,15802,18248,10451,16099
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Federal,Indirect Costs,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,119,75,25,53,11,7,7,7,8,2,24,28,28,85,281,52,4,30,0,43,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,4130,"5,360",7651,3913,2607,3535,6589,6661,6298,6468,8748,9480,17144,17715,13303,25576,53441,4921,4244,3793,3919,1940,2476,2023,1324,930
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Federal,Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,4602,"4,837",5942,4285,5059,2742,4405,4974,7306,7756,7989,4619,5680,7904,19280,16589,7064,8357,5491,3806,4790,3842,2431,2674,1583,1816
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,253FS,Federal Stimulu,0,0,0,0,0,0,0,0,0,-25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Federal,Grants to Local Gov.,Federal Miscellaneous Operating Grants Fund,253FS,Federal Stimulu,0,0,0,0,0,0,0,11645,17357,18261,1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,253FS,Federal Stimulu,0,0,0,0,0,0,296,3281,2193,1961,1063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Federal,Personal Service,Federal Miscellaneous Operating Grants Fund,253FS,Federal Stimulu,0,0,0,0,0,0,0,5034,2404,2665,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Grants to Local Gov.,Combined Expendable Trust,20192,Missng Children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,174,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Indirect Costs,Combined Expendable Trust,20192,Missng Children,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Non-Personal Service,Combined Expendable Trust,20192,Missng Children,142,56,310,28,285,351,276,11,9,11,15,-56,111,122,563,193,163,651,166,126,99,72,5,1,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Personal Service,Combined Expendable Trust,20192,Missng Children,256,144,186,135,235,92,202,55,199,175,200,101,-44,242,200,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Non-Personal Service,Combined Expendable Trust,20197,DCJ01 Comb Gift,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Personal Service,Combined Expendable Trust,20197,DCJ01 Comb Gift,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Non-Personal Service,Combined Expendable Trust,201PG,DCJS - MUNY Pol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,55,18,72,88
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Grants to Local Gov.,Indigent Legal Services,23551,Indigent Legal,6096,"2,942",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,21945,Crim Jus Improv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Grants to Local Gov.,Miscellaneous State Special Revenue,21945,Crim Jus Improv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1537,0,13239
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21945,Crim Jus Improv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,12682
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21945,Crim Jus Improv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,0,23170
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Grants to Local Gov.,Miscellaneous State Special Revenue,21950,FgrprintID&Tech,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21950,FgrprintID&Tech,2515,"1,300",2014,1010,885,2317,9618,10013,12698,6883,10503,26403,14955,7328,2819,3925,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,219K2,Equip Repair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,219K2,Equip Repair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,69,66
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,219K2,Equip Repair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,66
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Grants to Local Gov.,Miscellaneous State Special Revenue,22015,Crimes Against,0,0,4286,10625,15251,14534,10341,15019,14129,4632,6210,6953,4481,2053,2071,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Grants to Local Gov.,Miscellaneous State Special Revenue,22025,Comm Svce Assis,0,0,0,0,0,0,0,0,4,0,0,0,0,0,156,1112,2647,6856,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Grants to Local Gov.,Miscellaneous State Special Revenue,22096,Leg Svcs Assist,15100,"14,013",12007,12794,14907,12028,12700,11145,13967,13059,13502,18411,7394,1329,3149,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22096,Leg Svcs Assist,0,0,0,0,0,0,0,0,0,0,0,38,1425,1537,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Grants to Local Gov.,Miscellaneous State Special Revenue,22102,Drug Enforce Ta,0,0,0,0,20,0,0,0,0,0,0,1,4,6,11,24,13,24,78,15,25,15,2,17,0,57
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22102,Drug Enforce Ta,0,9,41,20,0,0,0,0,0,0,0,44,86,130,136,78,54,67,75,126,165,112,120,158,118,343
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22190,Conference&Sign,80,35,0,0,0,0,0,0,0,-3,19,-39,-26,85,0,6,1,5,43,64,60,67,48,92,79,86
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Fringe Benefits,State Police Motor Vehicle Law Enforcement and MV Theft & Ins Fraud Prevention,22801,MVTIFA,0,0,35,33,41,60,70,64,61,86,83,90,148,106,107,23,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Grants to Local Gov.,State Police Motor Vehicle Law Enforcement and MV Theft & Ins Fraud Prevention,22801,MVTIFA,4237,"3,858",3755,3090,4072,3425,3379,3723,3665,4937,4519,5625,5642,5363,4737,5105,5278,3436,4274,2436,1289,59,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Indirect Costs,State Police Motor Vehicle Law Enforcement and MV Theft & Ins Fraud Prevention,22801,MVTIFA,0,0,2,2,2,3,4,4,4,6,9,8,12,10,7,2,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Non-Personal Service,State Police Motor Vehicle Law Enforcement and MV Theft & Ins Fraud Prevention,22801,MVTIFA,4,6,4,6,4,1,8,9,4,4,4,17,36,23,23,35,18,26,40,26,1,0,0,0,0,0
Public Protection/Criminal Justice,"Criminal Justice Services, Division of",Special Revenue Funds - Other,Personal Service,State Police Motor Vehicle Law Enforcement and MV Theft & Ins Fraud Prevention,22801,MVTIFA,136,108,94,118,107,127,104,128,123,139,215,244,265,232,206,148,136,127,121,71,14,0,0,0,0,0
Public Protection/Criminal Justice,Disaster Assistance,Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,30000,Capital Project,0,0,0,0,0,0,0,1776,17754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,Disaster Assistance,General Fund,Grants to Local Gov.,Local Assistance Account,10000,Local Assistnce,0,0,0,0,0,2726,32571,19990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,Disaster Assistance,General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,0,0,0,0,-50021,-1427,17566,26885,11126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,Disaster Assistance,General Fund,Personal Service,State Operations Account,10050,State Purposes,0,0,0,0,-1768,-9310,-17031,24884,9685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Homeland Security and Emergency Services, Division of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,30000,Capital Project,5593,"4,690",6016,1320,1279,349,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Homeland Security and Emergency Services, Division of",Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,30000,Capital Project,23520,"19,127",21909,18771,71490,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Homeland Security and Emergency Services, Division of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CC,CPF - Auth Bond,21167,"2,946",5259,1135,924,8307,8409,5139,4476,2416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Homeland Security and Emergency Services, Division of",Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300CC,CPF - Auth Bond,43863,0,33098,35415,25400,28225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Homeland Security and Emergency Services, Division of",Capital Projects Funds - Other,Capital Projects,NYS Storm Recovery Fund,330CC,Storm Recovery,-14582,"4,337",17396,5989,4477,33286,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Homeland Security and Emergency Services, Division of",Capital Projects Funds - Other,Grants to Local Gov.,NYS Storm Recovery Fund,330CC,Storm Recovery,-9054,"8,721",1686,1861,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Homeland Security and Emergency Services, Division of",Capital Projects Funds - Other,Non-Personal Service,NYS Storm Recovery Fund,330CC,Storm Recovery,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Homeland Security and Emergency Services, Division of",General Fund,Grants to Local Gov.,Community Projects Fund,10253,Comm Proj CC,0,197,352,308,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Homeland Security and Emergency Services, Division of",General Fund,Grants to Local Gov.,Community Projects Fund,10255,Comm Proj EE,0,36,130,27,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Homeland Security and Emergency Services, Division of",General Fund,Grants to Local Gov.,Local Assistance Account,10000,Local Assistnce,5572,"3,955",3404,5166,-15806,31256,-9537,81684,19575,17552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Homeland Security and Emergency Services, Division of",General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,0,0,0,147,2246,2063,183,2318,794,6318,10769,9822,10264,8763,5996,5013,3423,2614,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Homeland Security and Emergency Services, Division of",General Fund,Personal Service,State Operations Account,10050,State Purposes,1000,"1,000",1070,992,2072,4789,6688,6404,6637,6197,10896,8358,7152,4211,3146,1955,1294,1149,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Homeland Security and Emergency Services, Division of",Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,4500,"8,483",6654,6722,9450,8244,5427,2158,3830,2847,1353,0,741,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Homeland Security and Emergency Services, Division of",Special Revenue Funds - Federal,Grants to Local Gov.,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,1122000,"1,050,501",1342908,1254509,1722015,2228504,1774951,1353872,408619,308771,265657,72145,21767,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Homeland Security and Emergency Services, Division of",Special Revenue Funds - Federal,Indirect Costs,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,0,0,0,10,30,0,0,64,258,733,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Homeland Security and Emergency Services, Division of",Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,25000,"18,085",17581,26673,74354,78212,87803,9089,13106,6241,869,2782,8487,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Homeland Security and Emergency Services, Division of",Special Revenue Funds - Federal,Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,15000,"13,853",11288,9988,13992,20863,31055,10459,7647,5913,2477,2485,1146,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Homeland Security and Emergency Services, Division of",Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,253FS,Federal Stimulu,0,0,0,0,65,327,445,40,66,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Homeland Security and Emergency Services, Division of",Special Revenue Funds - Federal,Indirect Costs,Federal Miscellaneous Operating Grants Fund,253FS,Federal Stimulu,0,0,0,0,1,0,17,33,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Protection/Criminal Justice,"Homeland Security and Emergency Services, Division of",Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,253FS,Federal Stimulu,0,0,0,0,0,1953,1377,172,569,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
